anonymized_player_id,rank_stratum,primary_role
P439,MASTER+,MIDDLE
P440,MASTER+,UTILITY
P441,MASTER+,UTILITY
P442,MASTER+,UTILITY
P443,MASTER+,JUNGLE
P444,MASTER+,UTILITY
P445,MASTER+,UTILITY
P446,MASTER+,JUNGLE
P447,MASTER+,UTILITY
P448,MASTER+,UTILITY
P449,MASTER+,JUNGLE
P450,MASTER+,JUNGLE
P451,MASTER+,TOP
P452,MASTER+,MIDDLE
P453,MASTER+,TOP
P454,MASTER+,JUNGLE
P455,MASTER+,MIDDLE
P456,MASTER+,TOP
P457,MASTER+,BOTTOM
P458,MASTER+,MIDDLE
P459,MASTER+,TOP
P460,MASTER+,MIDDLE
P461,MASTER+,BOTTOM
P462,MASTER+,MIDDLE
P463,MASTER+,TOP
P464,MASTER+,JUNGLE
P465,MASTER+,MIDDLE
P466,MASTER+,MIDDLE
P467,MASTER+,BOTTOM
P468,MASTER+,TOP
P469,MASTER+,TOP
P470,MASTER+,TOP
P471,MASTER+,TOP
P472,MASTER+,MIDDLE
P473,MASTER+,TOP
P474,MASTER+,MIDDLE
P475,MASTER+,TOP
P476,MASTER+,JUNGLE
P477,MASTER+,MIDDLE
P478,MASTER+,TOP
P479,MASTER+,BOTTOM
P480,MASTER+,TOP
P481,MASTER+,JUNGLE
P482,MASTER+,JUNGLE
P483,MASTER+,JUNGLE
P484,MASTER+,BOTTOM
P485,MASTER+,BOTTOM
P486,MASTER+,JUNGLE
P487,MASTER+,JUNGLE
P488,MASTER+,BOTTOM
P489,MASTER+,BOTTOM
P490,MASTER+,BOTTOM
P491,MASTER+,BOTTOM
P492,MASTER+,BOTTOM
P493,MASTER+,JUNGLE
P494,MASTER+,BOTTOM
P495,MASTER+,JUNGLE
P496,MASTER+,TOP
P497,MASTER+,TOP
P498,MASTER+,TOP
P499,MASTER+,TOP
P500,MASTER+,TOP
